passing_yards_national_rank,first_name,last_name,full_name,career_link,career_id,position_category,school_name,school_state,stat_value,passing_yards,passing_yards_per_game,passing_completions,passing_attempts,completion_percentage,passing_touchdowns,interceptions_thrown,passer_rating,games_played,year,category
46,Kobe,Miller,Kobe Miller,/tx/college-station/aandm-consolidated-tigers/athletes/kobe-miller/football/stats/?careerid=udsda21901mtd,udsda21901mtd,QB,A&M Consolidated,TX,3744,3744,288.0,278,385,0.722,34,9,122,13,2013,passing
47,Dalton,Sneed,Dalton Sneed,/az/scottsdale/horizon-huskies/athletes/dalton-sneed/football/stats/?careerid=kem4un2i3cpsc,kem4un2i3cpsc,QB,Horizon,AZ,3740,3740,340.0,205,290,0.707,44,8,141,11,2013,passing
48,Derek,Kiser,Derek Kiser,/tx/burnet/burnet-bulldogs/athletes/derek-kiser/football/stats/?careerid=o4mdoptp5hcg0,o4mdoptp5hcg0,"QB, WR",Burnet,TX,3737,3737,287.5,252,384,0.656,40,5,127,13,2013,passing
49,Joe,Burrow,Joe Burrow,/oh/the-plains/athens-bulldogs/athletes/joe-burrow/football/stats/?careerid=upsg3s8ro3si2,upsg3s8ro3si2,"QB, FS",Athens,OH,3732,3732,287.1,218,306,0.712,47,7,142,13,2013,passing
50,Jake,Purichia,Jake Purichia,/in/indianapolis/indianapolis-cardinal-ritter-raiders/athletes/jake-purichia/football/stats/?careerid=5hogigjtjaiaa,5hogigjtjaiaa,"QB, SS",Indianapolis Cardinal Ritter,IN,3718,3718,247.9,217,333,0.652,46,5,136,15,2013,passing
51,Dylan,Gale,Dylan Gale,/tx/white-oak/white-oak-roughnecks/athletes/dylan-gale/football/stats/?careerid=mci5mds16ldaa,mci5mds16ldaa,QB,White Oak,TX,3701,3701,246.7,213,335,0.636,36,0,137,15,2013,passing
52,Jacob,Park,Jacob Park,/sc/goose-creek/stratford-knights/athletes/jacob-park/football/stats/?careerid=5ljngk4mt1hbb,5ljngk4mt1hbb,PR,Stratford,SC,3680,3680,245.3,246,461,0.534,34,0,104,15,2013,passing
53,Kyler,Murray,Kyler Murray,/tx/allen/allen-eagles/athletes/kyler-murray/football/stats/?careerid=l3shkuhhc8ftd,l3shkuhhc8ftd,QB,Allen,TX,3669,3669,229.3,207,325,0.637,46,9,130,16,2013,passing
54,Quaymon,Williams,Quaymon Williams,/nc/elizabeth-city/northeastern-eagles/athletes/quaymon-williams/football/stats/?careerid=tjr3f6gu449m6,tjr3f6gu449m6,QB,Northeastern,NC,3662,3662,244.1,236,355,0.665,37,15,118,15,2013,passing
55,Sam,Metcalf,Sam Metcalf,/ca/farmersville/farmersville-aztecs/athletes/sam-metcalf/football/stats/?careerid=fopc17r97o611,fopc17r97o611,QB,Farmersville,CA,3637,3637,303.1,231,373,0.619,54,8,125,12,2013,passing
56,Tanner,Kingsley,Tanner Kingsley,/ct/beacon-falls/woodland-regional-hawks/athletes/tanner-kingsley/football/stats/?careerid=14qsvoojo9u22,14qsvoojo9u22,QB,Woodland Regional,CT,3613,3613,240.9,247,398,0.621,45,13,116,15,2013,passing
57,Hunter,Lile,Hunter Lile,/tx/booker/booker-kiowas/athletes/hunter-lile/football/stats/?careerid=qc32tkqso3cp9,qc32tkqso3cp9,"QB, DB",Booker,TX,3611,3611,300.9,277,408,0.679,40,10,118,12,2013,passing
58,Desmon,White,Desmon White,/tx/desoto/desoto-eagles/athletes/desmon-white/football/stats/?careerid=mbjlk46118rrb,mbjlk46118rrb,QB,DeSoto,TX,3589,3589,276.1,225,329,0.684,37,5,136,13,2013,passing
59,Jack,Abraham,Jack Abraham,/ms/oxford/oxford-chargers/athletes/jack-abraham/football/stats/?careerid=qk4i39f5lqh66,qk4i39f5lqh66,QB,Oxford,MS,3572,3572,238.1,285,468,0.609,38,14,99,15,2013,passing
60,Jagan,Cleary,Jagan Cleary,/az/yuma/yuma-catholic-shamrocks/athletes/jagan-cleary/football/stats/?careerid=m8ja14jau2d11,m8ja14jau2d11,QB,Yuma Catholic,AZ,3567,3567,274.4,232,344,0.674,35,10,123,13,2013,passing
61,Shawn,Stankavage,Shawn Stankavage,/nc/raleigh/cardinal-gibbons-crusaders/athletes/shawn-stankavage/football/stats/?careerid=40p8somvr0rtd,40p8somvr0rtd,QB,Cardinal Gibbons,NC,3564,3564,274.2,247,408,0.605,34,14,102,13,2013,passing
62,Michael,Wilson,Michael Wilson,/ca/colfax/colfax-falcons/athletes/michael-wilson/football/stats/?careerid=t1jeqmgjbgk55,t1jeqmgjbgk55,"QB, K",Colfax,CA,3560,3560,296.7,252,391,0.645,46,15,117,12,2013,passing
63,Hunter,Wells,Hunter Wells,/oh/navarre/fairless-falcons/athletes/hunter-wells/football/stats/?careerid=8iqfqmkppvgsc,8iqfqmkppvgsc,QB,Fairless,OH,3558,3558,296.5,257,414,0.621,33,13,103,12,2013,passing
64,Brett,Gilchrist,Brett Gilchrist,/tx/whitney/whitney-wildcats/athletes/brett-gilchrist/football/stats/?careerid=4eur30l90q244,4eur30l90q244,"QB, DB",Whitney,TX,3558,3558,296.5,204,348,0.586,37,11,116,12,2013,passing
65,Dan,Williams,Dan Williams,/nj/erial/timber-creek-regional-chargers/athletes/dan-williams/football/stats/?careerid=5sq7bi70ngp55,5sq7bi70ngp55,"QB, FS",Timber Creek Regional,NJ,3545,3545,295.4,220,366,0.601,32,6,115,12,2013,passing
66,Harley,Kirsch,Harley Kirsch,/wa/sammamish/eastside-catholic-crusaders/athletes/harley-kirsch/football/stats/?careerid=8cti10v1qlmqa,8cti10v1qlmqa,QB,Eastside Catholic,WA,3535,3535,252.5,244,348,0.701,35,3,133,14,2013,passing
67,Dillon,Rivers,Dillon Rivers,/sc/chesterfield/chesterfield-golden-rams/athletes/dillon-rivers/football/stats/?careerid=bnv79174pim99,bnv79174pim99,QB,Chesterfield,SC,3485,3485,290.4,250,374,0.668,39,10,120,12,2013,passing
68,Benjamin,Lucas,Benjamin Lucas,/me/augusta/cony-rams/athletes/benjamin-lucas/football/stats/?careerid=soas1hig8imk4,soas1hig8imk4,QB,Cony,ME,3482,3482,267.8,222,369,0.602,41,8,120,13,2013,passing
69,Christian,Hutzler,Christian Hutzler,/tx/addison/trinity-christian-trojans/athletes/christian-hutzler/football/stats/?careerid=t5p7rj8g0h3qa,t5p7rj8g0h3qa,QB,Trinity Christian,TX,3471,3471,267.0,270,420,0.643,33,14,102,13,2013,passing
70,Christian,Lopez,Christian Lopez,/nv/henderson/green-valley-gators/athletes/christian-lopez/football/stats/?careerid=o6trcirlp1tvf,o6trcirlp1tvf,QB,Green Valley,NV,3455,3455,287.9,251,388,0.647,29,13,104,12,2013,passing
71,Gabe,Losada,Gabe Losada,/az/phoenix/st-marys-knights/athletes/gabe-losada/football/stats/?careerid=1vq5jefb6bfm6,1vq5jefb6bfm6,QB,St. Mary's,AZ,3448,3448,344.8,243,397,0.612,42,7,117,10,2013,passing
72,Emanuel,Gant,Emanuel Gant,/az/tempe/tempe-buffaloes/athletes/emanuel-gant/football/stats/?careerid=q51ved9qgt8ee,q51ved9qgt8ee,"QB, DB",Tempe,AZ,3425,3425,342.5,168,261,0.644,42,4,141,10,2013,passing
73,Braxton,Sampley,Braxton Sampley,/ar/lamar/lamar-warriors/athletes/braxton-sampley/football/stats/?careerid=kibm60cnjfi55,kibm60cnjfi55,"QB, FS",Lamar,AR,3424,3424,311.3,186,292,0.637,32,18,115,11,2013,passing
74,Austin,Herink,Austin Herink,/tn/cleveland/cleveland-blue-raiders/athletes/austin-herink/football/stats/?careerid=1acmemi325tj3,1acmemi325tj3,QB,Cleveland,TN,3421,3421,244.4,240,369,0.65,35,11,114,14,2013,passing
75,Kyle,Akin,Kyle Akin,/tn/jackson/trinity-christian-academy-lions/athletes/kyle-akin/football/stats/?careerid=ibudgtql889h1,ibudgtql889h1,"QB, FS",Trinity Christian Academy,TN,3421,3421,263.2,234,356,0.657,43,9,126,13,2013,passing
76,Kory,Brown,Kory Brown,/ca/covina/charter-oak-chargers/athletes/kory-brown/football/stats/?careerid=ovs71a111cibb,ovs71a111cibb,QB,Charter Oak,CA,3420,3420,285.0,243,404,0.601,28,21,89,12,2013,passing
77,JT,Granato,JT Granato,/tx/houston/kinkaid-falcons/athletes/jt-granato/football/stats/?careerid=9hnd0lhl69s88,9hnd0lhl69s88,QB,Kinkaid,TX,3420,3420,310.9,224,384,0.583,42,9,114,11,2013,passing
78,Tristian,Hernandez,Tristian Hernandez,/ca/fresno/roosevelt-rough-riders/athletes/tristian-hernandez/football/stats/?careerid=qq3pv26gf1mn7,qq3pv26gf1mn7,QB,Roosevelt,CA,3413,3413,284.4,206,322,0.64,32,14,115,12,2013,passing
79,David,Morrison,David Morrison,/in/fort-wayne/fort-wayne-concordia-lutheran-cadets/athletes/david-morrison/football/stats/?careerid=pbt6hks0odkj3,pbt6hks0odkj3,"QB, CB",Fort Wayne Concordia Lutheran,IN,3412,3412,262.5,238,377,0.631,29,12,105,13,2013,passing
80,Anthony,Gordon,Anthony Gordon,/ca/pacifica/terra-nova-tigers/athletes/anthony-gordon/football/stats/?careerid=6mgkc1oiauqp9,6mgkc1oiauqp9,QB,Terra Nova,CA,3406,3406,309.6,242,340,0.712,32,6,127,11,2013,passing
81,Brandon,Dawkins,Brandon Dawkins,/ca/westlake-village/oaks-christian-lions/athletes/brandon-dawkins/football/stats/?careerid=shpb7uf16t711,shpb7uf16t711,QB,Oaks Christian,CA,3383,3383,307.5,202,335,0.603,38,11,119,11,2013,passing
