tackles_national_rank,first_name,last_name,full_name,career_link,career_id,position_category,school_name,school_state,stat_value,total_tackles,tackles_per_game,solo_tackles,assisted_tackles,tackles_for_loss,sacks,games_played,year,category
106,Sam,Hinojosa,Sam Hinojosa,/tx/mcallen/mcallen-memorial-mustangs/athletes/sam-hinojosa/football/stats/?careerid=tvdqgnr97k1p9,tvdqgnr97k1p9,"OLB, MLB",McAllen Memorial,TX,168,168,14.0,126,42,26.0,4.0,12,2015,tackles
107,Garrett,Perkinson,Garrett Perkinson,/ca/exeter/exeter-monarchs/athletes/garrett-perkinson/football/stats/?careerid=gv15ta7h56v55,gv15ta7h56v55,"TE, LB",Exeter,CA,168,168,14.0,92,76,14.0,1.0,12,2015,tackles
108,Tristan,Seargeant,Tristan Seargeant,/tx/mineral-wells/mineral-wells-rams/athletes/tristan-seargeant/football/stats/?careerid=n4p54g2j8q755,n4p54g2j8q755,"RB, FB",Mineral Wells,TX,168,168,12.9,78,90,2.0,2.0,13,2015,tackles
109,Zach,Lackman,Zach Lackman,/fl/fort-myers/dunbar-tigers/athletes/zach-lackman/football/stats/?careerid=cnpjrfqvdca11,cnpjrfqvdca11,"MLB, TE",Dunbar,FL,168,168,12.9,95,73,21.0,7.0,13,2015,tackles
110,Justin,Cryer,Justin Cryer,/ca/sutter/sutter-huskies/athletes/justin-cryer/football/stats/?careerid=i62onjf8659h1,i62onjf8659h1,OLB,Sutter,CA,168,168,12.0,50,118,5.5,0.5,14,2015,tackles
111,Patrick,Gonzales,Patrick Gonzales,/ca/chatsworth/sierra-canyon-trailblazers/athletes/patrick-gonzales/football/stats/?careerid=c5l1bqfil49j3,c5l1bqfil49j3,MLB,Sierra Canyon,CA,168,168,11.2,104,64,9.0,5.5,15,2015,tackles
112,Mitchell,Walk,Mitchell Walk,/ms/bay-st-louis/st-stanislaus-rock-a-chaws/athletes/mitchell-walk/football/stats/?careerid=morladc0famcc,morladc0famcc,OLB,St. Stanislaus,MS,168,168,11.2,57,111,30.0,2.5,15,2015,tackles
113,Marcus,Nafziger,Marcus Nafziger,/in/harlan/tri-state-crusaders-kings-crusaders/athletes/marcus-nafziger/football/stats/?careerid=teojrr3260lg0,teojrr3260lg0,"ATH, DB",Tri-State Crusaders,IN,167,167,16.7,86,81,7.0,0.0,10,2015,tackles
114,Matt,Collins,Matt Collins,/pa/clearfield/clearfield-bison/athletes/matt-collins/football/stats/?careerid=viknmq4bje6bb,viknmq4bje6bb,"TE, LB",Clearfield,PA,167,167,15.2,12,0,0.0,1.5,11,2015,tackles
115,Kevin,Meitzenheimer,Kevin Meitzenheimer,/ca/moreno-valley/moreno-valley-vikings/athletes/kevin-meitzenheimer/football/stats/?careerid=euhe261ma0m11,euhe261ma0m11,"TE, MLB",Moreno Valley,CA,167,167,13.9,133,34,3.0,4.0,12,2015,tackles
116,Taymond,Reed,Taymond Reed,/nc/graham/graham-red-devils/athletes/taymond-reed/football/stats/?careerid=9t3lfo0mqchue,9t3lfo0mqchue,"MLB, FB",Graham,NC,167,167,13.9,59,108,8.5,0.5,12,2015,tackles
117,Bailey,Hanner,Bailey Hanner,/ga/canton/north-georgia-falcons/athletes/bailey-hanner/football/stats/?careerid=lin47l0qd2d55,lin47l0qd2d55,"FB, LB",North Georgia,GA,167,167,12.8,127,40,7.0,3.0,13,2015,tackles
118,Javonte,Williams,Javonte Williams,/nc/teachey/wallace-rose-hill-bulldogs/athletes/javonte-williams/football/stats/?careerid=cvjhu3io196i2,cvjhu3io196i2,"RB, LB",Wallace-Rose Hill,NC,167,167,10.4,97,70,14.0,0.5,16,2015,tackles
119,Daniel,Caracciolo,Daniel Caracciolo,/va/chantilly/st-paul-vi-panthers/athletes/daniel-caracciolo/football/stats/?careerid=81480dufohd55,81480dufohd55,"LB, LS",Paul VI,VA,166,166,18.4,84,82,21.0,5.0,9,2015,tackles
120,Harrison,Govan,Harrison Govan,/va/mclean/mclean-highlanders/athletes/harrison-govan/football/stats/?careerid=93rpcv9rp0u44,93rpcv9rp0u44,"OLB, RB",McLean,VA,166,166,16.6,53,113,16.0,6.0,10,2015,tackles
121,Corey,Wilson,Corey Wilson,/tx/killeen/shoemaker-wolves/athletes/corey-wilson/football/stats/?careerid=d9ac1d94cb9vf,d9ac1d94cb9vf,"MLB, RB",Shoemaker,TX,166,166,13.8,106,60,29.0,11.0,12,2015,tackles
122,James,Boyle,James Boyle,/nc/mocksville/davie-county-war-eagles/athletes/james-boyle/football/stats/?careerid=do5n85v8ebtn7,do5n85v8ebtn7,MLB,Davie County,NC,166,166,13.8,107,59,27.0,0.0,12,2015,tackles
123,Dustin,Lundy,Dustin Lundy,/tx/tolar/tolar-rattlers/athletes/dustin-lundy/football/stats/?careerid=7iiqql0fvthaa,7iiqql0fvthaa,MLB,Tolar,TX,166,166,11.9,124,42,13.0,1.0,14,2015,tackles
124,Asher,Thompson,Asher Thompson,/fl/st-petersburg/keswick-christian-crusaders/athletes/asher-thompson/football/stats/?careerid=ibn24i0oqedcc,ibn24i0oqedcc,"WR, LB",Keswick Christian,FL,165,165,16.5,112,53,21.0,2.0,10,2015,tackles
125,Dj,Williams,Dj Williams,/tx/elkhart/elkhart-elks/athletes/dj-williams/football/stats/?careerid=qn7f82s7ho0bb,qn7f82s7ho0bb,"RB, OLB",Elkhart,TX,165,165,16.5,85,80,11.0,5.0,10,2015,tackles
